Timestamp,How long have you been into craft beer?,What is your favorite MN centered craft beer facebook group?,How many beers are in your main food fridge right now?,What is your favorite MN beer?,What is your favorite MN brewery?,What is your gender?,Share your favorite memory from Darkness day
10/17/2016 15:39:14,More than 4 years,MNBT (No Rules),1 Miller High Life - Downstairs Beer Fridge Close to 75,Bent Paddle Cold Press Black ,Dangerous Man,Male,Cracking that '07 Darkness - Straight Raisins! And seeing Jack get a dry handy from Dax.
10/17/2016 15:40:04,More than 4 years,MNBT (No Rules),"None, have a dedicated beer fridge ",2009 Fitger's Brewhouse Framboise,Surly,Male,
10/17/2016 15:40:34,More than 4 years,MNBT (No Rules),48,Surly Coffee Bender,Dangerous Man,Female,"Didn't attend, but loved all the pictures posted in MN Facebook beer groups!"
10/17/2016 15:41:46,More than 4 years,MNBT (No Rules),3,Rosie's Old Ale,Steel Toe,Male,Can't remember ;)
10/17/2016 15:42:42,More than 4 years,MNBT (No Rules),40ish? ,Darkness,Surly ,Male,2010 moves bender 
10/17/2016 15:45:19,More than 4 years,MNBT (No Rules),,BADSDB,Indeed,Male,"First year on Eve, trying new styles of beers I never imagined existed!"
10/17/2016 15:45:59,1-2 Years,MNBT (No Rules),0,Dangerous Man Belgian Dark Strong,Fair State,Male,Haven't been :(
10/17/2016 15:46:56,More than 4 years,MNBT (No Rules),10,Bent Paddle Double Shot Double Black,Town Hall,Male,Didn't Ryan Ungs shit himself?
10/17/2016 15:47:59,More than 4 years,MNBT (No Rules),5,Twisted trace,Town hall,Male,People remember this day?
10/17/2016 15:49:06,More than 4 years,MNBT (No Rules),Zero,Todd the Axe Man,Surly,Male,Dumpster fire!
10/17/2016 15:50:05,More than 4 years,MNBT (No Rules),3,BP BADSDB,Bent Paddle,Male,waking up at 3am to two of my friends in boxer shorts
10/17/2016 15:51:16,3-4 Years,MNBT (No Rules),4,Double Shot,Disgruntled ,Male,
10/17/2016 15:55:15,1-2 Years,MNBT (No Rules),60,Todd the axe men,Surly,Male,Beer
10/17/2016 15:56:33,More than 4 years,MNBT (No Rules),1,DM PBS,The original surly tap room,Male,Sharing my last bottle of 2007 darkness
10/17/2016 15:58:31,More than 4 years,MNBT (No Rules),34,BA Silhouette ,Sisyphus ,Male,When my buddy attempted to enter his tent but fell on top of it. It was brilliant. 
10/17/2016 15:58:42,More than 4 years,MNBT (No Rules),,"Saga, duh.",Indeed ,Male,Ryan Ungs pooping himself.
10/17/2016 15:58:47,More than 4 years,MNBT (No Rules),0 but in my beer fridge 100?,Too many to pick from,Dangerous man,Male,Wishing I was there and watching all the photos from no rules. 
10/17/2016 16:07:10,More than 4 years,MNBT (No Rules),20,Surly Todd the Ax Man,Forager ,Male,Never been :( 
10/17/2016 16:12:39,More than 4 years,MNBT (No Rules),8,BA Darkness ,Indeed,Male,Drunk Morning Selfies
10/17/2016 16:19:03,3-4 Years,Beer People,34,apricot vista ,612,Female,ryan ungs pooping himself in tights was pretty awesome 
10/17/2016 16:22:26,More than 4 years,MNBT (No Rules),12,Dangerous Man BA RIS,Dangerous Man,Male,"Sharing my rare beer with others and them sharing theirs with me! Plus, too many laughs to remember."
10/17/2016 16:23:09,More than 4 years,MNBT (No Rules),33,Barrel Aged Darkness,Surly,Male,The Butt Grabs
10/17/2016 16:24:13,More than 4 years,MNBT (No Rules),6,Todd The Axeman or CD Mosaic,Sisyphus,Male,"I didn't go, I went to the store instead"
10/17/2016 16:27:22,More than 4 years,MNBT (No Rules),7 unique,"Surly Furious, yeah, I know",Sisyphus,Male,People sharing beer freely with strangers
10/17/2016 16:30:54,1-2 Years,MNBT (No Rules),2,todd ,surly,Male,Never been
10/17/2016 17:02:51,More than 4 years,MNBT (No Rules),6,BA silhouette,Indeed,Male,"Surly sharing my chalk ""art"" on instagram"
10/17/2016 17:04:38,More than 4 years,MNBT (No Rules),2 growlers,Fulton lonely blonde ,Fulton,Female,
10/17/2016 17:13:28,More than 4 years,MNBT (No Rules),62,Todd the Axman,Surly,Male,NA
10/17/2016 17:15:48,More than 4 years,MNBT (No Rules),27,Able First Light,Able,Male,Side by side 15 & 16 Fundamentals Observation
10/17/2016 17:22:41,More than 4 years,MNBT (No Rules),50+,Dangerous Man Peanut Butter Porter,Unbiased answer (cough) Forager,Male,Brent choking out the scrub that tried to steal his truck while he was sleeping in it in the caribou parking lot👌🏽... 2013
10/17/2016 17:31:02,More than 4 years,MNBT (No Rules),None. I have a beer fridge with around 40-50 beers. ,Surly Darkness BA 2015,Surly,Male,Omar dropping a keg of Moe's bender right next to my chair in line @ 9:00 a.m.  And tapping it for us for free. 
10/17/2016 17:37:01,More than 4 years,MNBT (No Rules),2,Ba dsdb,Forager,Male,Hanging out with friends and meeting new ones!   Also md tics or tic
10/17/2016 17:37:15,1-2 Years,MNBT (No Rules),,Lift Bridge Silhouette ,Surly ,Male,Showing up!!!
10/17/2016 17:39:11,3-4 Years,MNBT (No Rules),I keep beer in separate fridge - 0.,BA DSDB,Foarager,Male,Good beer with good people.
10/17/2016 17:45:09,More than 4 years,MNBT (No Rules),20,"I've never had BA Darkness or Silouette, so I'd probably go with Dangerous Man Vanilla Roibus",Dangerous Man,Male,Never been
10/17/2016 18:10:18,1-2 Years,MNBT (No Rules),75,BA Silhouette ,Fair State,Male,Never been there
10/17/2016 18:17:54,More than 4 years,MNBT (No Rules),15,BA Darkness,Indeed,Male,N/A
10/17/2016 18:30:52,More than 4 years,MNBT (No Rules),,Schell's Starkeller Peach,Bent Paddle,Male,Walking the line and meeting new folks.
10/17/2016 18:43:20,3-4 Years,MBT,0 I have a beer fridge ,BA Silhouette ,Bent Paddle,Male,Meeting new peeps
10/17/2016 18:50:08,More than 4 years,MNBT (No Rules),8,BA Darkness,Bent paddle,Male,
10/17/2016 18:56:55,More than 4 years,MNBT (No Rules),None. I have s beer fridge.,Bent Paddle DSDB,Hammerheart,Male,Meeting everyone from Norulez especially Sylvester
10/17/2016 18:57:54,More than 4 years,MBT,30,Lift Bridge BA Silhouette ,Surly,Male,"Some random breaking into my friend's Prius, babbling about zombies. "
10/17/2016 19:05:34,More than 4 years,MNBT (No Rules),10,Fair state roselle,Fair state,Male,Bottle share 
10/17/2016 19:17:11,More than 4 years,MNBT (No Rules),14,BA Silhouette,Surly,Male,Getting to try 2 batches of Fundemental Observation back to back.
10/17/2016 19:28:25,1-2 Years,MN Razzle Dazzle,12,Bent Paddle,Town Hall Brewery,Male,I can't quite remember.
10/17/2016 19:31:56,3-4 Years,MNBT (No Rules),12,Forager,Forager,Female,
10/17/2016 19:47:37,More than 4 years,MNBT (No Rules),,Surly Abrasive,Bent Paddle,Male,Drinking Darkness
10/17/2016 20:16:50,Less than a year,MN Razzle Dazzle,7,Freehouse IPA,The Freehouse,Female,all the beer
10/17/2016 20:42:28,More than 4 years,MNBT (No Rules),10,Abrasive,Fair State,Male," I was hanging with a very drunk Clark Lewey (chief of Toppling Goliath) on Darkness eve 2012.  I had brought him some beers a few weeks earlier in Decorah  and he wanted to thank me by giving me a bottle and a growler of red label Assassin:).  As we were standing there talking Omar came up and introduced himself. Clark was totally bombed but was absolutely thrilled to meet him. The first thing he said was that Omar was his inspiration, that he started his brewery (TG) to try to do something amazing like Surly had done.  Clark was too busy (sweetly:) fawning to notice that Omar wanted some beer, so I poured him some Zeelander and Sue.  We all chatted for several minutes and then Omar invited Clark for a late night tour of the brewery. Clark turned to me and said, ""Watch my stuff!""  So for the next hour and a half two friends and I were hosts of all the TG brews, pouring them for whomever came by (and warding people off from the four bottles of red label assassin in the pile but everyone kept ogling).  "
10/17/2016 21:11:09,More than 4 years,MNBT (No Rules),13,Axeman,Surly,Male,People watching
10/17/2016 21:46:50,More than 4 years,MNBT (No Rules),1,Town Hall 3 Hour Tour ,Fitgers or Dangerous Man,Male,Having great beers with great friends I don't get to see far enough.
10/17/2016 21:50:10,More than 4 years,MNBT (No Rules),0,Surly Five,Sisyphus,Male,I can't remember :)
10/17/2016 22:12:19,1-2 Years,MN Razzle Dazzle,11,Darkness ,Summit ,Male,when Ryan Ungs was so drunk he shit his tights 
10/17/2016 22:14:42,3-4 Years,MN Razzle Dazzle,7,Coffee Bender ,Surly ,Female,Ryan Ungs dancing in his shit stained Tights
10/18/2016 6:52:59,3-4 Years,MNBT (No Rules),5,Cold press from bent paddle,Dangerous Man,Male,
10/18/2016 8:35:41,More than 4 years,MBT,0,Junkyard Black Walnut Stout,Beaver Island,Male,Setting up the growler table and pouring beer for people.
10/18/2016 9:04:03,3-4 Years,MNBT (No Rules),39,Todd the ax man,Bent paddle,Male,Memory? But seriously meeting people in no rules
10/18/2016 10:14:34,1-2 Years,MNBT (No Rules),15,Bent paddle double shot double black,Disgruntled ,Male,Getting to try a bunch of food from our neighbor when I brought him a pecan mud
10/18/2016 11:34:06,3-4 Years,MNBT (No Rules),30ish,BA double shot double black,Surly,Female,Todd ripping it on stage!!!!!
10/18/2016 20:01:54,More than 4 years,MNBT (No Rules),1. The rest are in the basement.,Currently BPDSDB,Cant say,Male,
10/18/2016 20:30:10,3-4 Years,MNBT (No Rules),2,Disgruntled Brunch,Surly,Male,Unicorn onesie or hotboxing the car with Jack and Tyson
10/19/2016 23:50:33,More than 4 years,MNBT (No Rules),10+,Fulton 300,Bauhaus,Female,
